id,name,comment,regionId,zoneNum,startZoneId,image,sx,sy,wx,wy,eventId
101,光輝叢林,需要描述么？,1,5,10101,101,91,939,64,64,0
102,迷霧之森,需要描述么？,1,5,10201,102,325,867,64,64,0
103,荒蕪之地,需要描述么？,1,5,10301,103,611,583,64,64,0
104,骸骨之地,需要描述么？,1,5,10401,104,535,339,64,64,0
105,幽暗沼澤,需要描述么？,1,5,10501,105,255,217,64,64,0
201,詛咒之地,需要描述么？,2,5,20101,201,689,729,64,64,0
202,貧瘠之地,需要描述么？,2,5,20201,202,363,571,64,64,0
203,悽涼之地,需要描述么？,2,5,20301,203,161,439,64,64,0
204,格林沙漠,需要描述么？,2,5,20401,204,389,339,64,64,0
205,燃燒平原,需要描述么？,2,5,20501,205,188,337,64,64,0
301,幽魂之地,需要描述么？,3,5,30101,301,773,64,64,64,0
302,暗影之牙,需要描述么？,3,5,30201,302,583,71,64,64,0
303,巨龍骨場,需要描述么？,3,5,30301,303,301,118,64,64,0
304,冰封要塞,需要描述么？,3,5,30401,304,243,183,64,64,0
305,冰雪領域,需要描述么？,3,5,30501,305,103,229,64,64,0
